Year,Number,Ticker,Company
2014,"6,384",NVDA,NVIDIA Corporation
2013,"7,974",NVDA,NVIDIA Corporation
2012,"5,042",NVDA,NVIDIA Corporation
2011,"6,029",NVDA,NVIDIA Corporation
2010,"5,706",NVDA,NVIDIA Corporation
2009,"3,772",NVDA,NVIDIA Corporation
2022,"127,855",TSLA,"Tesla, Inc."
2021,"99,290",TSLA,"Tesla, Inc."
2020,"70,757",TSLA,"Tesla, Inc."
2019,"48,016",TSLA,"Tesla, Inc."
2018,"48,817",TSLA,"Tesla, Inc."
2017,"37,543",TSLA,"Tesla, Inc."
2016,"17,782",TSLA,"Tesla, Inc."
2015,"13,058",TSLA,"Tesla, Inc."
2014,"10,161",TSLA,"Tesla, Inc."
2013,"5,859",TSLA,"Tesla, Inc."
2012,"2,964",TSLA,"Tesla, Inc."
2011,"1,417",TSLA,"Tesla, Inc."
2010,899,TSLA,"Tesla, Inc."
2009,0,TSLA,"Tesla, Inc."
2022,"86,482",META,"Meta Platforms, Inc."
2021,"71,970",META,"Meta Platforms, Inc."
2020,"58,604",META,"Meta Platforms, Inc."
2019,"44,942",META,"Meta Platforms, Inc."
2018,"35,587",META,"Meta Platforms, Inc."
2017,"25,105",META,"Meta Platforms, Inc."
2016,"17,048",META,"Meta Platforms, Inc."
2015,"12,691",META,"Meta Platforms, Inc."
2014,"9,199",META,"Meta Platforms, Inc."
2013,"6,337",META,"Meta Platforms, Inc."
2012,"4,619",META,"Meta Platforms, Inc."
2011,"3,200",META,"Meta Platforms, Inc."
2010,0,META,"Meta Platforms, Inc."
2009,0,META,"Meta Platforms, Inc."
2022,"143,000",ORCL,Oracle Corporation
2021,"132,000",ORCL,Oracle Corporation
2020,"135,000",ORCL,Oracle Corporation
2019,"136,000",ORCL,Oracle Corporation
2018,"137,000",ORCL,Oracle Corporation
2017,"138,000",ORCL,Oracle Corporation
2016,"136,000",ORCL,Oracle Corporation
2015,"132,000",ORCL,Oracle Corporation
2014,"122,000",ORCL,Oracle Corporation
2013,"120,000",ORCL,Oracle Corporation
2012,"115,000",ORCL,Oracle Corporation
2011,"108,000",ORCL,Oracle Corporation
2010,"105,000",ORCL,Oracle Corporation
2009,"86,000",ORCL,Oracle Corporation
2022,"73,541",CRM,"Salesforce, Inc."
2021,"56,606",CRM,"Salesforce, Inc."
2020,"49,000",CRM,"Salesforce, Inc."
2019,"35,000",CRM,"Salesforce, Inc."
2018,"29,000",CRM,"Salesforce, Inc."
2017,"25,000",CRM,"Salesforce, Inc."
2016,"19,000",CRM,"Salesforce, Inc."
2015,"16,000",CRM,"Salesforce, Inc."
2014,"13,300",CRM,"Salesforce, Inc."
2013,"9,800",CRM,"Salesforce, Inc."
2012,"7,785",CRM,"Salesforce, Inc."
2011,"5,306",CRM,"Salesforce, Inc."
2010,"3,969",CRM,"Salesforce, Inc."
2009,"3,566",CRM,"Salesforce, Inc."
2022,"83,300",CSCO,"Cisco Systems, Inc."
2021,"79,500",CSCO,"Cisco Systems, Inc."
2020,"77,500",CSCO,"Cisco Systems, Inc."
2019,"75,900",CSCO,"Cisco Systems, Inc."
2018,"74,200",CSCO,"Cisco Systems, Inc."
2017,"72,900",CSCO,"Cisco Systems, Inc."
2016,"73,700",CSCO,"Cisco Systems, Inc."
2015,"71,833",CSCO,"Cisco Systems, Inc."
2014,"74,042",CSCO,"Cisco Systems, Inc."
2013,"75,049",CSCO,"Cisco Systems, Inc."
2012,"66,639",CSCO,"Cisco Systems, Inc."
2011,"71,825",CSCO,"Cisco Systems, Inc."
2010,"70,000",CSCO,"Cisco Systems, Inc."
2009,"65,550",CSCO,"Cisco Systems, Inc."
2022,"288,300",IBM,IBM Corporation
2021,"345,000",IBM,IBM Corporation
2020,"345,900",IBM,IBM Corporation
2019,"383,800",IBM,IBM Corporation
2018,"381,100",IBM,IBM Corporation
2017,"397,800",IBM,IBM Corporation
2016,"414,400",IBM,IBM Corporation
2015,"411,798",IBM,IBM Corporation
2014,"412,775",IBM,IBM Corporation
2013,"463,785",IBM,IBM Corporation
2012,"466,995",IBM,IBM Corporation
2011,"466,385",IBM,IBM Corporation
2010,"463,869",IBM,IBM Corporation
2009,"437,776",IBM,IBM Corporation
2022,"131,900",INTC,Intel Corporation
2021,"121,100",INTC,Intel Corporation
2020,"110,600",INTC,Intel Corporation
2019,"110,800",INTC,Intel Corporation
2018,"107,400",INTC,Intel Corporation
2017,"102,700",INTC,Intel Corporation
2016,"106,000",INTC,Intel Corporation
2015,"107,300",INTC,Intel Corporation
2014,"106,700",INTC,Intel Corporation
2013,"107,600",INTC,Intel Corporation
2012,"105,000",INTC,Intel Corporation
2011,"100,100",INTC,Intel Corporation
2010,"82,500",INTC,Intel Corporation
2009,"79,800",INTC,Intel Corporation
2022,"12,800",NFLX,"Netflix, Inc."
